+------------------------------------------+
|    X    |    Y    |          P           |
|  243.750|  281.250|-5.370544299517543e+12|
|  262.500|  281.250|-3.378313352814879e+12|
|  281.250|  281.250|-1.633919077936085e+12|
|  300.000|  281.250| 1.317225000000000e+07|
|    0.000|  300.000| 1.317225000000000e+07|
|   18.750|  300.000| 1.317225000000000e+07|
|   37.500|  300.000| 1.317225000000000e+07|
|   56.250|  300.000| 1.317225000000000e+07|
|   75.000|  300.000| 1.317225000000000e+07|
|   93.750|  300.000| 1.317225000000000e+07|
|  112.500|  300.000| 1.317225000000000e+07|
|  131.250|  300.000| 1.317225000000000e+07|
|  150.000|  300.000| 1.317225000000000e+07|
|  168.750|  300.000| 1.317225000000000e+07|
|  187.500|  300.000| 1.317225000000000e+07|
|  206.250|  300.000| 1.317225000000000e+07|
|  225.000|  300.000| 1.317225000000000e+07|
|  243.750|  300.000| 1.317225000000000e+07|
|  262.500|  300.000| 1.317225000000000e+07|
|  281.250|  300.000| 1.317225000000000e+07|
|  300.000|  300.000| 1.317225000000000e+07|
+------------------------------------------+
